YEAR	County	NAICS4dig	NAICSname4dig	Diesel	LPG_NGL	Net_electricity	Other	Residual_fuel_oil	Coal	Natural_gas	Coke_and_breeze
2010	Genesee	1111	Oilseed and Grain FarmingT	32030.21411355611	7449.397368418372	11356.562555846236	11315.52172535477	4652.257827936313	0	0	0
2010	Genesee	1112	Vegetable and Melon FarmingT	3650.156166119105	848.9316881180494	2768.9059232703817	1289.514370782105	530.1702803738224	0	0	0
2010	Genesee	1113	Fruit and Tree Nut FarmingT	378.6557036796843	88.06549942275352	360.3378889101271	133.770159207383	54.99819499461238	0	0	0
2010	Genesee	1114	Greenhouse, Nursery, and Floriculture ProductionT	5822.629636401709	1354.1926924655843	3355.13800932214	2056.998180399712	845.7131822187614	0	0	0
2010	Genesee	1119	Other Crop FarmingT	5411.3168975364315	1258.5320133443931	3251.1207106884453	1911.6910583166473	785.971686194667	0	0	0
2010	Genesee	1121	Cattle Ranching and FarmingT	28547.2185281968	6639.3428974803455	20848.908671749654	10085.06125838063	4146.366939439332	0	0	0
2010	Genesee	1122	Hog and Pig FarmingT	487.7160303738141	113.430103848868	587.3362053563501	172.2986089925319	70.83876217849895	0	0	0
2010	Genesee	1123	Poultry and Egg ProductionT	900.9841038872736	209.5455431140568	1319.8996854033223	318.296504843559	130.86426257705665	0	0	0
2010	Genesee	1124	Sheep and Goat FarmingT	367.1059630597581	85.37932920000813	305.4266356613886	129.68990734132768	53.32064232452439	0	0	0
2010	Genesee	1129	Other Animal ProductionT	2817.4094276335527	655.2563870338842	3630.686734065851	995.3245231075148	409.2172165237688	0	0	0
2010	Genesee	2111	Oil and Gas ExtractionT	4208.965417724943	0	18996.97834918943	8157.883710549511	714.4410781215681	5203.082001703316	146533.9898580331	0
2010	Genesee	2123	Nonmetallic Mineral Mining and QuarryingT	26491.236947969548	0	26383.329299576653	14241.413618650835	8278.332275614011	31910.633500127802	12018.003065775625	0
2010	Genesee	2369	Building Construction (unclassified)	15414.94458836379	570.2767134104718	8890.79031573716	0	0	0	4172.934752359778	0
2010	Genesee	2378	Heavy and Civil Engineering Construction (unclassified)	17669.17878467078	2753.787878270883	2642.576968664717	0	0	0	1047.1800166164771	0
2010	Genesee	2388	Specialty Trade Contractors (unclassified)	72793.40488861631	3024.759486496107	16804.672377053754	0	0	0	20959.891107305837	0
2010	Genesee	3114	Fruit and Vegetable Preserving and Specialty Food ManufacturingT	647.4200377158289	478.485583442462	13384.464376302878	6357.834270658024	3276.6647697484877	2246.9690726326276	34515.65159003467	0
2010	Genesee	3115	Dairy Product ManufacturingT	5071.785268414485	402.8545119705344	40843.46504559269	519480.10386950255	8652.82215122471	940.5884995507639	75527.60913558831	0
2010	Genesee	3152	Cut and Sew Apparel ManufacturingT	0	0	8.4135722433594875	0	0	0	6.949540774345639	0
2010	Genesee	3162	Footwear ManufacturingT	864.3042350907524	424.98937526561866	2016.6004208557397	10128.120727199052	1966.085033177686	0	1617.8530922676634	0
2010	Genesee	3219	Other Wood Product ManufacturingT	708.5737422816078	74.66029565477085	2536.350940606256	243.16614178365413	30.221915205940753	1.8212282363225751	805.7710789714255	0
2010	Genesee	3221	Pulp, Paper, and Paperboard MillsT	0	0	9495.99015629	0	0	0	556483.226535997	0
2010	Genesee	3231	Printing and Related Support ActivitiesT	68.27403245942575	71.93830570902398	1503.9260385005057	11.715035476556176	495.0412673056443	0	931.6728100607102	0
2010	Genesee	3252	Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments ManufacturingT	645.027049521432	521.7925107427874	11556.484295846	10838.026967059268	0	0	18776.500915486184	0
2010	Genesee	3261	Plastics Product ManufacturingT	313.0415339035164	164.9212501030759	3878.7823798938393	26.857155958194458	0	148.85143018063314	2847.859574633337	0
2010	Genesee	3262	Rubber Product ManufacturingT	62.608306780703266	32.98425002061518	775.7564759787679	5.371431191638892	0	29.77028603612663	569.5719149266674	0
2010	Genesee	3272	Glass and Glass Product ManufacturingT	232.0108713665442	244.4629149757984	638.8358393630466	39.8103860442263	0	5.963313694153564	527.6730959635884	0
2010	Genesee	3315	FoundriesT	0	3946.3299131807457	1031.2635692574916	0	0	0	8518.151406269355	0
2010	Genesee	3321	Forging and StampingT	103.4890597279715	60.57962586023073	237.46200607902648	0.9865293032889412	2.4522168039908068	0	326.9027403721789	0
2010	Genesee	3323	Architectural and Structural Metals ManufacturingT	206.978119455943	121.15925172046146	474.92401215805296	1.9730586065778823	4.9044336079816135	0	653.8054807443579	0
2010	Genesee	3324	Boiler, Tank, and Shipping Container ManufacturingT	700.0884432419411	223.55490251076296	11837.375931355415	49.535780576736244	77.84780804679292	0	15837.29374293827	0
2010	Genesee	3327	Machine Shops; Turned Product; and Screw, Nut, and Bolt ManufacturingT	724.4234180958005	424.05738102161513	1662.2340425531852	6.905705123022588	17.165517627935646	0	2288.3191826052525	0
2010	Genesee	3328	Coating, Engraving, Heat Treating, and Allied ActivitiesT	639.8599984204548	271.72034139914564	3496.956773561179	16.540726995741736	17.76345229768493	0	5748.047918436382	0
2010	Genesee	3329	Other Fabricated Metal Product ManufacturingT	310.4671791839145	181.7388775806922	712.3860182370795	2.959587909866823	7.356650411972421	0	980.7082211165368	0
2010	Genesee	3331	Agriculture, Construction, and Mining Machinery ManufacturingT	136.6028852250811	83.5120977522007	28476.4199236719	1299.8783888759006	0	0	18709.0403619481	0
2010	Genesee	3333	Commercial and Service Industry Machinery ManufacturingT	14.540892104503325	15.321303046181484	440.41760861246047	19.960393224614847	0	0	297.6392338297111	0
